Group,Angle (°),SNR Score,Signal Strength (S_j),Noise Strength (N_j)
Group_1,0,7.3532763,3.9598603,0.53851646
Group_2,45,5.2516985,3.0150425,0.57410806
Group_3,90,5.3767,2.9272165,0.54442626
Group_4,135,5.483081,3.1497903,0.5744563
Group_5,180,5.7625184,3.1010702,0.53814495
Group_6,225,6.3449607,3.4426897,0.54258645
Group_7,270,5.478758,2.9726994,0.5425864
Group_8,315,3.8914478,3.0102808,0.7735632
