Group,Angle (°),SNR Score,Signal Strength (S_j),Noise Strength (N_j)
Group_1,0,5.50539,3.1988165,0.5810336
Group_2,45,9.209582,4.545468,0.49355853
Group_3,90,6.3002825,3.1501412,0.5
Group_4,135,10.207036,5.538199,0.5425864
Group_5,180,6.218383,3.099226,0.49839744
Group_6,225,5.8841505,3.1489828,0.5351635
Group_7,270,5.9699616,2.9825919,0.49959984
Group_8,315,6.214726,3.2316577,0.52000004
